aX,aY,aZ,gX,gY,gZ
-0.313,0.809,0.796,-35.828,13.916,62.744
-0.303,0.818,0.801,-32.043,10.071,65.063
-0.300,0.841,0.803,-29.114,6.714,66.895
-0.296,0.876,0.805,-27.588,5.737,68.726
-0.334,0.906,0.795,-28.625,6.897,72.449
-0.385,0.906,0.740,-34.058,9.094,78.613
-0.415,0.889,0.659,-41.260,11.536,85.205
-0.464,0.847,0.590,-45.959,13.794,90.698
-0.506,0.803,0.528,-49.072,17.151,95.581
-0.530,0.749,0.478,-50.476,21.851,99.731
-0.552,0.693,0.442,-50.354,25.635,102.966
-0.572,0.654,0.416,-49.072,27.832,104.553
-0.591,0.627,0.392,-47.180,28.320,105.713
-0.615,0.600,0.365,-45.227,27.771,108.154
-0.631,0.561,0.334,-44.189,25.940,111.084
-0.643,0.515,0.302,-43.213,23.560,113.647
-0.651,0.473,0.278,-42.236,23.254,115.540
-0.661,0.438,0.276,-40.527,25.024,116.455
-0.679,0.405,0.290,-38.086,28.076,116.760
-0.692,0.367,0.294,-36.438,31.860,117.615
-0.707,0.335,0.314,-33.325,34.973,118.469
-0.746,0.302,0.354,-28.992,37.292,119.019
-0.780,0.256,0.391,-27.283,39.185,119.202
-0.796,0.215,0.420,-28.259,41.382,118.286
-0.797,0.187,0.447,-29.846,42.419,115.417
-0.768,0.184,0.459,-32.166,41.687,110.413
-0.732,0.187,0.462,-35.217,39.185,104.980
-0.708,0.184,0.455,-37.537,36.804,101.685
-0.696,0.165,0.446,-38.086,35.217,100.952
-0.725,0.122,0.450,-37.598,33.569,101.929
-0.786,0.063,0.475,-34.668,32.837,103.088
-0.839,0.010,0.509,-30.762,33.569,102.417
-0.875,-0.030,0.547,-29.297,35.156,98.877
-0.896,-0.070,0.578,-30.212,36.926,94.360
-0.914,-0.107,0.592,-33.508,38.513,89.233
-0.921,-0.116,0.582,-38.269,39.307,82.703
-0.941,-0.109,0.581,-41.382,39.246,75.134
-0.953,-0.109,0.597,-40.283,37.781,67.932
-0.953,-0.099,0.615,-36.560,34.485,61.218
-0.943,-0.084,0.632,-31.982,30.151,54.504
-0.933,-0.066,0.661,-26.306,25.085,48.401
-0.922,-0.058,0.696,-21.179,20.264,43.274
-0.911,-0.058,0.726,-18.799,15.930,38.574
-0.196,0.699,1.931,115.662,91.492,-97.778
-0.094,0.848,2.159,103.516,80.811,-92.651
-0.049,1.029,2.278,88.806,65.674,-84.900
-0.054,1.204,2.345,77.148,48.584,-75.073
-0.095,1.303,2.375,67.261,32.288,-63.904
-0.168,1.361,2.316,51.941,19.409,-52.185
-0.255,1.383,2.188,33.997,12.329,-42.725
-0.342,1.357,2.034,15.808,9.644,-34.363
-0.425,1.297,1.874,-0.671,8.911,-25.452
-0.496,1.239,1.719,-12.390,9.033,-17.578
-0.548,1.168,1.594,-18.982,9.094,-10.864
-0.590,1.092,1.499,-21.484,7.996,-4.883
-0.612,1.019,1.425,-22.705,6.348,1.160
-0.632,0.936,1.383,-23.132,4.944,7.263
-0.665,0.842,1.355,-23.010,3.296,12.939
-0.698,0.753,1.334,-23.376,1.099,18.005
-0.732,0.675,1.332,-24.414,-2.930,22.888
-0.770,0.588,1.318,-26.672,-9.033,28.931
-0.828,0.492,1.314,-28.076,-15.442,36.194
-0.909,0.385,1.301,-28.564,-20.630,42.969
-1.021,0.272,1.282,-28.748,-24.597,48.157
-1.174,0.160,1.302,-26.733,-26.306,51.025
-1.375,0.026,1.375,-22.522,-25.757,52.612
-1.605,-0.113,1.480,-16.663,-24.597,52.124
-1.873,-0.239,1.639,-7.935,-24.048,47.852
-2.121,-0.385,1.843,2.502,-26.611,38.818
-2.306,-0.510,2.053,10.559,-34.851,22.095
-2.428,-0.629,2.268,8.118,-47.241,-0.793
-2.535,-0.762,2.362,-5.920,-60.120,-26.611
-2.484,-0.852,2.362,-27.405,-67.566,-56.885
-2.430,-0.893,2.208,-56.824,-85.999,-89.539
-2.315,-0.951,1.968,-82.397,-106.445,-119.629
-2.084,-0.924,1.682,-94.482,-130.310,-145.569
-1.775,-0.868,1.425,-91.064,-160.767,-169.739
-1.520,-0.831,1.228,-78.613,-192.444,-190.002
-1.330,-0.854,1.032,-64.575,-214.905,-204.224
-1.140,-0.896,0.792,-53.955,-225.647,-218.506
-0.897,-0.904,0.540,-49.805,-226.562,-237.854
-0.647,-0.922,0.298,-49.866,-217.102,-260.376
-0.379,-0.884,0.043,-53.223,-195.496,-284.302
-0.044,-0.772,-0.244,-52.673,-168.762,-307.922
0.346,-0.650,-0.514,-41.748,-143.127,-327.515
0.706,-0.494,-0.762,-21.362,-120.972,-339.417
1.319,-0.280,-0.854,13.916,-95.642,-350.220
2.189,0.050,-0.580,72.388,-62.988,-364.075
