aX,aY,aZ,gX,gY,gZ
-0.190,0.504,1.120,-40.588,-57.861,-22.278
-0.162,0.455,1.114,7.446,-37.598,-2.930
-0.118,0.348,1.214,50.171,-19.775,16.235
-0.105,0.248,1.324,73.853,-8.484,30.640
-0.128,0.191,1.390,76.416,-2.441,37.292
-0.148,0.167,1.417,63.904,1.343,34.241
-0.146,0.168,1.403,42.603,1.953,23.743
-0.139,0.190,1.365,17.456,-0.732,9.827
-0.131,0.227,1.304,-5.920,-3.662,-2.563
-0.118,0.265,1.239,-22.400,-2.991,-10.132
-0.091,0.295,1.166,-31.250,1.038,-13.245
-0.065,0.314,1.089,-33.020,6.042,-13.306
-0.038,0.328,1.015,-28.992,11.230,-11.597
-0.006,0.324,0.960,-20.813,15.991,-8.179
0.018,0.291,0.930,-11.414,18.677,-5.249
0.038,0.249,0.923,-4.761,19.104,-3.601
0.051,0.217,0.925,-3.235,16.846,-3.052
0.043,0.201,0.929,-5.920,11.658,-4.272
0.012,0.195,0.936,-10.559,5.920,-6.775
-0.008,0.201,0.944,-16.174,1.953,-9.888
-0.019,0.211,0.931,-21.606,-0.366,-12.939
-0.696,0.472,1.780,-14.587,7.751,-21.973
-0.869,0.491,1.972,-4.883,15.564,-20.386
-1.031,0.450,2.239,12.146,34.912,-15.381
-1.132,0.351,2.517,30.396,66.772,-6.592
-1.086,0.242,2.647,37.109,112.000,1.404
-1.001,0.176,2.608,25.330,161.194,2.930
-0.938,0.130,2.496,-0.793,196.960,-4.333
-0.849,0.107,2.291,-35.156,210.266,-18.250
-0.787,0.149,2.076,-70.679,211.060,-37.720
-0.695,0.174,1.929,-95.642,210.022,-56.702
-0.597,0.206,1.761,-109.253,215.210,-67.444
-0.552,0.279,1.555,-111.572,231.140,-67.505
-0.565,0.302,1.434,-95.642,251.953,-57.068
-0.586,0.220,1.374,-71.167,276.062,-42.603
-0.596,0.107,1.289,-57.556,303.345,-31.555
-0.577,-0.006,1.261,-62.622,322.205,-28.076
-0.536,-0.133,1.191,-87.036,326.477,-33.264
-0.471,-0.224,1.011,-130.310,325.867,-47.119
-0.405,-0.196,0.806,-183.289,319.824,-66.406
-0.396,-0.136,0.619,-229.248,303.345,-85.876
-0.403,-0.092,0.390,-258.545,290.283,-104.980
-0.376,0.033,0.155,-268.738,293.030,-118.591
-0.331,0.102,-0.002,-251.221,304.443,-119.690
-0.276,0.087,-0.152,-213.806,319.031,-111.084
-0.252,0.106,-0.259,-172.729,335.205,-97.412
-0.289,0.117,-0.225,-129.700,346.069,-78.857
-0.230,0.046,-0.139,-94.666,348.206,-64.758
-0.156,-0.151,-0.025,-81.543,340.576,-65.186
-0.122,-0.264,0.135,-92.285,322.388,-75.073
-0.155,-0.399,0.229,-121.155,299.927,-85.938
-0.184,-0.414,0.178,-163.025,286.987,-100.647
-0.220,-0.351,-0.123,-201.721,285.095,-115.234
-0.192,-0.250,-0.540,-217.102,295.715,-122.070
-0.182,-0.279,-1.069,-207.703,314.941,-121.765
-0.012,-0.488,-1.770,-181.763,334.656,-120.300
0.369,-0.900,-2.502,-149.170,345.703,-114.380
0.920,-1.419,-3.215,-117.981,340.210,-103.821
1.341,-1.784,-3.919,-85.999,304.993,-81.055
2.106,-1.789,-4.000,-43.640,248.840,-42.358
2.039,-1.611,-3.539,6.287,159.729,8.179
1.493,-1.179,-2.749,44.128,49.622,42.725
0.983,-0.669,-1.843,52.551,-31.860,65.674
0.681,-0.022,-0.963,40.955,-72.693,78.613
0.427,0.573,-0.346,20.142,-86.365,83.679
0.272,1.019,0.021,-4.883,-87.708,78.857
0.234,1.325,0.178,-28.259,-81.543,64.026
0.287,1.474,0.190,-40.283,-67.322,44.128
0.427,1.411,0.082,-36.926,-49.988,24.719
0.604,1.239,-0.120,-23.560,-33.875,9.155
0.774,1.020,-0.334,-6.042,-23.499,-2.197
0.901,0.779,-0.579,12.512,-20.813,-9.399
0.995,0.568,-0.797,30.640,-25.452,-14.282
1.035,0.388,-0.951,46.143,-36.499,-17.639
1.043,0.238,-1.008,58.228,-52.063,-20.325
1.030,0.122,-1.015,64.880,-68.726,-21.057
1.023,0.018,-0.991,66.406,-82.825,-19.653
1.015,-0.070,-0.943,63.782,-95.520,-17.090
1.009,-0.137,-0.905,56.458,-108.398,-14.404
1.004,-0.160,-0.875,45.166,-120.300,-10.864
0.985,-0.129,-0.866,34.424,-131.104,-6.653
0.950,-0.085,-0.864,29.785,-140.259,-2.625
0.933,-0.067,-0.847,32.471,-145.935,3.845
0.924,-0.068,-0.811,39.063,-149.170,12.512
0.900,-0.068,-0.774,45.410,-152.832,21.057
0.876,-0.081,-0.727,48.462,-158.813,28.015
0.844,-0.079,-0.668,47.974,-166.504,32.715
0.812,-0.068,-0.621,45.471,-175.537,35.828
0.763,-0.065,-0.577,42.664,-184.448,39.001
0.724,-0.077,-0.516,41.199,-192.688,41.870
0.696,-0.081,-0.464,40.283,-199.402,45.837
0.637,-0.079,-0.410,40.344,-205.139,50.781
0.571,-0.076,-0.352,42.419,-209.106,56.946
0.520,-0.083,-0.280,47.791,-208.679,65.308
0.476,-0.077,-0.211,53.894,-204.407,74.951
0.416,-0.055,-0.167,57.861,-198.730,83.679
