aX,aY,aZ,gX,gY,gZ
-1.052,-1.588,1.743,-61.340,-112.488,74.890
-1.032,-1.567,1.574,-65.369,-116.516,52.063
-1.026,-1.601,1.497,-62.622,-116.638,32.776
-1.033,-1.642,1.459,-52.856,-115.723,14.160
-1.051,-1.642,1.444,-41.870,-116.028,-5.920
-1.063,-1.641,1.498,-29.724,-116.577,-24.902
-1.120,-1.677,1.611,-15.320,-119.507,-41.260
-1.192,-1.699,1.742,-1.648,-124.146,-58.472
-1.225,-1.668,1.853,12.573,-131.653,-79.773
-1.211,-1.634,1.953,25.635,-144.226,-101.563
-1.180,-1.591,1.980,32.776,-161.377,-123.047
-1.130,-1.473,1.869,31.677,-177.185,-147.034
-0.960,-1.432,1.780,26.611,-179.138,-170.410
-0.832,-1.306,1.584,12.329,-178.955,-193.848
-0.659,-1.155,1.338,-9.644,-174.255,-218.567
-0.437,-0.985,1.067,-32.227,-161.865,-241.455
-0.224,-0.810,0.781,-52.246,-148.376,-259.644
-0.009,-0.621,0.493,-64.392,-140.320,-273.376
0.181,-0.430,0.210,-64.697,-139.832,-280.640
0.423,-0.234,-0.021,-51.270,-147.095,-282.227
0.706,0.014,-0.174,-23.376,-160.095,-281.006
0.981,0.335,-0.239,15.076,-172.729,-274.658
1.359,0.700,-0.209,57.495,-177.246,-262.512
1.797,1.093,-0.029,99.365,-171.204,-243.469
2.000,1.462,0.324,133.484,-152.466,-210.693
1.968,1.703,0.718,144.409,-119.507,-163.818
1.807,1.809,0.855,119.080,-80.750,-116.089
1.635,1.729,0.786,72.388,-43.823,-81.116
1.425,1.636,0.618,24.841,-14.771,-59.753
1.286,1.597,0.478,-9.644,8.057,-49.316
1.211,1.599,0.366,-28.015,26.978,-43.579
1.121,1.614,0.302,-34.912,36.926,-33.020
0.960,1.565,0.277,-32.410,34.790,-14.465
0.722,1.435,0.302,-22.217,24.170,7.690
0.465,1.286,0.356,-9.460,10.193,26.917
0.229,1.148,0.453,2.808,-2.319,39.856
0.036,1.027,0.578,12.268,-8.789,46.997
-0.105,0.934,0.694,14.954,-10.254,51.147
-0.201,0.848,0.792,10.132,-8.728,53.589
-0.267,0.773,0.867,1.038,-5.249,54.077
-0.316,0.727,0.908,-10.864,0.183,53.345
-0.339,0.705,0.899,-25.085,5.615,52.551
-0.326,0.698,0.847,-38.269,7.874,52.063
-0.308,0.700,0.789,-46.387,7.202,52.917
-0.291,0.717,0.750,-47.852,6.348,55.908
-0.310,0.732,0.753,-43.762,6.531,60.669
-0.329,0.750,0.783,-38.025,7.080,65.063
-0.364,0.764,0.806,-33.447,6.714,69.763
-0.406,0.775,0.811,-31.372,4.333,75.684
-0.430,0.795,0.807,-31.311,0.549,82.458
-0.474,0.795,0.807,-33.752,-3.601,90.088
-0.550,0.763,0.785,-38.574,-6.287,98.816
-0.618,0.720,0.729,-45.288,-6.653,106.812
-0.682,0.682,0.678,-51.147,-5.859,112.366
-0.747,0.636,0.634,-54.749,-4.822,116.028
-0.816,0.572,0.612,-56.152,-3.784,119.019
-0.867,0.513,0.591,-56.213,-3.052,120.789
-0.896,0.456,0.577,-55.481,-3.784,121.155
-0.930,0.383,0.576,-55.359,-5.310,120.605
-0.971,0.304,0.576,-55.481,-7.690,118.958
-0.959,0.259,0.548,-55.176,-11.292,115.173
-0.963,0.203,0.527,-56.396,-13.977,110.657
-0.967,0.151,0.492,-58.289,-15.259,107.483
-0.973,0.107,0.447,-57.861,-15.381,103.577
-0.973,0.065,0.408,-56.091,-14.587,98.572
-0.974,0.025,0.372,-53.162,-13.489,93.811
-0.971,-0.016,0.334,-49.255,-12.146,89.172
-0.960,-0.052,0.305,-43.762,-10.193,83.984
-0.938,-0.083,0.293,-36.743,-7.690,77.881
-0.917,-0.107,0.302,-27.649,-5.127,71.777
-0.908,-0.125,0.331,-18.066,-2.563,66.589
-0.896,-0.135,0.366,-9.888,-0.183,61.523
-0.874,-0.136,0.400,-3.784,1.404,55.969
-0.857,-0.130,0.426,0.061,1.770,50.720
-0.837,-0.122,0.448,1.892,2.380,45.898
-0.810,-0.109,0.466,2.625,3.906,41.382
-0.778,-0.093,0.494,2.075,5.737,36.987
-0.766,-0.086,0.526,1.404,7.080,32.959
-0.771,-0.073,0.548,0.671,8.118,28.870
-0.771,-0.060,0.560,-0.610,8.911,25.330
-0.762,-0.051,0.567,-2.075,8.850,22.034
-0.760,-0.049,0.576,-2.747,8.423,18.921
-0.759,-0.038,0.583,-3.052,7.874,15.991
-0.759,-0.016,0.585,-2.930,7.568,12.695
-0.762,0.007,0.586,-2.869,7.568,9.644
-0.776,0.028,0.591,-2.625,7.629,6.653
-0.788,0.048,0.596,-2.563,7.324,3.845
-0.798,0.076,0.596,-2.563,6.592,0.610
-0.806,0.114,0.592,-2.808,5.859,-2.930
-0.802,0.151,0.581,-3.784,5.737,-5.920
-0.793,0.180,0.570,-4.883,6.653,-8.362
-0.784,0.200,0.565,-5.981,7.812,-10.071
-0.777,0.217,0.564,-6.592,8.850,-10.864
-0.765,0.234,0.560,-6.348,9.277,-10.864
-0.750,0.249,0.553,-5.920,8.911,-10.498
0.541,1.178,1.544,186.035,108.398,-96.680
0.505,1.375,1.770,180.115,100.891,-79.102
0.468,1.514,1.918,162.537,95.032,-60.364
0.447,1.598,1.971,134.033,92.896,-44.739
0.411,1.656,1.962,100.830,93.506,-33.142
0.375,1.733,1.887,68.115,98.999,-24.231
0.363,1.837,1.807,41.748,107.239,-14.709
0.342,1.915,1.763,25.452,112.427,-2.930
0.334,1.963,1.736,17.273,112.305,14.221
0.344,1.966,1.737,16.113,106.873,36.377
0.307,1.895,1.778,19.226,96.497,63.904
0.213,1.729,1.833,22.278,83.740,93.567
0.166,1.571,1.875,20.081,72.998,116.455
0.105,1.414,1.877,8.911,64.392,133.179
0.060,1.223,1.849,-5.920,60.242,148.315
0.005,1.018,1.816,-22.583,59.570,161.804
-0.046,0.798,1.767,-39.612,60.852,173.218
-0.070,0.588,1.731,-53.772,64.148,181.824
-0.142,0.363,1.703,-65.125,68.298,189.697
-0.203,0.074,1.756,-72.144,72.327,197.571
-0.513,-0.179,1.875,-75.256,60.486,200.745
-0.707,-0.417,1.963,-76.538,46.265,198.303
-0.758,-0.611,2.009,-67.566,45.898,190.308
-0.871,-0.731,2.084,-53.650,40.771,178.772
-0.966,-0.794,2.109,-47.302,19.043,166.748
-1.000,-0.869,2.099,-46.997,-6.104,155.640
-1.039,-0.940,2.061,-47.974,-32.410,144.165
-1.091,-1.013,2.005,-49.011,-54.260,132.568
-1.157,-1.115,1.948,-49.744,-71.777,120.361
-1.218,-1.206,1.845,-52.124,-85.266,106.873
-1.251,-1.253,1.719,-54.260,-95.276,89.966
-1.236,-1.276,1.593,-55.847,-103.333,69.763
-1.208,-1.286,1.474,-56.396,-109.497,49.133
-1.149,-1.293,1.372,-54.260,-112.061,29.175
-1.095,-1.278,1.288,-50.171,-113.586,9.888
-1.056,-1.252,1.241,-44.373,-116.150,-8.118
-1.003,-1.224,1.207,-36.011,-120.850,-24.231
-0.941,-1.181,1.193,-27.100,-125.793,-39.001
-0.886,-1.134,1.225,-15.198,-130.066,-52.307
-0.887,-1.129,1.308,-1.709,-134.338,-62.744
-0.940,-1.158,1.399,12.085,-138.184,-69.458
-1.029,-1.170,1.476,25.085,-139.893,-76.599
-1.093,-1.166,1.541,38.269,-139.465,-88.501
-1.103,-1.124,1.617,47.119,-138.733,-106.018
-1.099,-1.024,1.666,46.570,-141.235,-125.366
-1.085,-0.934,1.683,39.246,-144.348,-144.592
-1.015,-0.815,1.626,29.724,-143.982,-164.062
-0.901,-0.671,1.532,19.409,-139.099,-181.458
-0.767,-0.487,1.407,4.578,-140.991,-196.960
-0.558,-0.328,1.252,-9.827,-142.578,-207.764
-0.365,-0.170,1.080,-21.484,-145.020,-214.111
-0.187,-0.015,0.896,-30.151,-146.790,-218.018
0.039,0.136,0.709,-36.316,-143.005,-221.741
0.322,0.322,0.539,-38.086,-134.827,-225.281
0.622,0.567,0.395,-29.419,-127.014,-226.013
0.958,0.810,0.347,-7.202,-122.009,-221.191
1.227,1.050,0.407,21.973,-122.009,-205.017
1.332,1.259,0.522,47.302,-124.146,-174.927
1.312,1.355,0.605,58.838,-124.695,-138.855
1.233,1.369,0.574,52.795,-120.728,-107.483
1.149,1.339,0.486,34.729,-107.727,-85.327
1.087,1.337,0.369,10.620,-82.275,-71.777
1.076,1.341,0.273,-11.963,-50.476,-63.965
1.103,1.337,0.180,-30.151,-17.944,-56.580
1.083,1.323,0.132,-39.307,8.484,-45.593
0.989,1.269,0.135,-38.696,24.475,-32.593
0.858,1.209,0.178,-28.137,26.917,-18.860
0.707,1.132,0.219,-11.963,15.503,-5.188
0.538,1.052,0.223,3.235,-2.808,8.301
0.351,0.947,0.242,17.090,-21.118,20.630
