aX,aY,aZ,gX,gY,gZ
0.753,-0.145,-0.751,-68.909,-27.710,-67.871
0.834,-0.180,-0.749,-77.087,-33.875,-71.777
0.948,-0.226,-0.755,-87.219,-40.649,-75.500
1.050,-0.223,-0.764,-95.825,-47.791,-81.970
1.165,-0.248,-0.792,-103.455,-53.223,-90.271
1.236,-0.261,-0.875,-112.488,-53.467,-100.647
1.217,-0.238,-0.934,-123.779,-47.241,-114.441
1.164,-0.194,-0.932,-137.085,-34.912,-129.089
1.118,-0.182,-0.888,-151.611,-20.203,-142.334
1.108,-0.198,-0.838,-165.039,-9.827,-156.128
1.103,-0.214,-0.782,-174.622,-7.080,-170.654
1.086,-0.251,-0.750,-180.603,-10.376,-184.937
1.054,-0.303,-0.740,-188.904,-16.296,-197.937
0.980,-0.275,-0.755,-201.904,-23.865,-211.060
0.851,-0.240,-0.773,-217.529,-32.349,-223.389
0.697,-0.225,-0.803,-233.887,-40.283,-229.126
0.588,-0.274,-0.839,-247.864,-46.509,-226.929
0.507,-0.422,-0.882,-257.385,-48.645,-223.633
0.447,-0.566,-0.873,-263.855,-47.058,-228.210
0.411,-0.693,-0.812,-274.109,-46.570,-242.676
0.411,-0.778,-0.738,-292.603,-47.791,-261.597
0.418,-0.763,-0.643,-317.200,-53.650,-278.931
0.426,-0.724,-0.556,-340.332,-66.406,-288.574
0.370,-0.722,-0.498,-356.628,-85.632,-289.185
0.287,-0.751,-0.466,-362.549,-107.178,-280.151
0.187,-0.829,-0.422,-361.938,-125.549,-264.404
0.088,-0.954,-0.441,-359.680,-137.939,-249.817
-0.038,-0.996,-0.465,-360.352,-143.738,-241.943
-0.176,-0.940,-0.469,-356.873,-140.442,-242.249
-0.298,-0.772,-0.422,-339.783,-129.578,-246.765
-0.406,-0.627,-0.340,-307.190,-115.784,-246.704
-0.474,-0.522,-0.248,-264.099,-101.624,-238.220
-0.525,-0.475,-0.158,-218.689,-86.914,-222.351
-0.580,-0.496,-0.090,-177.979,-76.477,-204.346
-0.640,-0.530,-0.044,-148.926,-73.425,-186.401
-0.723,-0.555,-0.037,-133.362,-75.623,-166.931
-0.875,-0.583,-0.061,-128.052,-79.834,-146.606
-1.028,-0.637,-0.087,-127.747,-83.679,-128.845
-1.067,-0.683,-0.116,-128.235,-79.407,-114.807
-1.038,-0.705,-0.125,-128.601,-66.345,-104.919
-0.993,-0.708,-0.125,-125.122,-49.622,-97.595
-0.969,-0.682,-0.099,-112.244,-34.729,-91.614
-0.946,-0.656,-0.059,-90.515,-23.010,-86.243
-0.931,-0.651,-0.005,-64.880,-15.198,-78.918
-0.891,-0.684,0.045,-39.001,-11.047,-69.275
-0.854,-0.727,0.074,-18.433,-11.353,-59.753
-0.818,-0.765,0.100,-7.324,-15.076,-51.025
-0.834,-0.807,0.066,-4.211,-18.921,-43.457
-0.835,-0.829,0.081,-6.714,-23.804,-37.598
-0.851,-0.826,0.042,-15.259,-29.175,-35.095
-0.846,-0.807,0.001,-25.391,-28.015,-32.898
-0.825,-0.787,-0.022,-30.884,-23.621,-32.837
-0.833,-0.781,-0.005,-32.288,-14.282,-33.691
-0.816,-0.760,0.046,-32.776,-2.197,-35.828
-0.773,-0.739,0.106,-29.785,7.935,-36.865
-0.737,-0.730,0.165,-24.536,12.878,-35.522
-0.721,-0.736,0.213,-18.982,11.658,-31.677
1.236,0.347,-1.061,156.067,0.549,96.741
1.274,0.286,-1.036,127.930,-7.080,115.234
1.312,0.174,-1.049,104.370,-22.400,130.554
1.276,0.022,-1.066,88.318,-37.231,135.498
1.175,-0.115,-1.043,74.463,-43.335,128.418
1.086,-0.265,-0.928,57.373,-38.452,114.990
1.012,-0.413,-0.756,33.630,-25.940,99.609
0.951,-0.473,-0.568,8.911,-14.771,80.994
0.996,-0.450,-0.428,-15.442,-8.972,63.843
0.986,-0.350,-0.431,-33.508,-8.240,53.345
0.892,-0.170,-0.475,-29.846,-15.503,47.546
0.693,-0.069,-0.676,-2.869,-24.109,49.561
0.677,-0.063,-0.798,38.879,-16.968,44.556
0.588,-0.010,-0.864,78.125,-5.859,43.213
0.468,-0.078,-0.884,101.013,6.165,39.307
0.476,-0.126,-0.871,101.318,16.418,24.597
0.477,-0.031,-0.823,78.491,20.508,8.423
0.379,0.102,-0.792,42.236,17.151,-3.052
0.290,0.198,-0.772,7.690,11.475,-16.602
0.364,0.310,-0.712,-16.602,7.812,-31.738
0.276,0.424,-0.682,-29.419,2.502,-32.532
0.235,0.422,-0.664,-28.687,-2.258,-29.846
0.293,0.450,-0.624,-20.935,-2.869,-26.917
0.243,0.419,-0.646,-10.376,-3.662,-18.250
0.333,0.347,-0.647,0.732,-4.578,-14.832
0.307,0.330,-0.722,6.592,-4.822,-8.362
0.339,0.245,-0.781,10.376,-5.554,-8.484
0.401,0.171,-0.838,8.606,-6.165,-14.404
0.468,0.122,-0.893,-3.296,-8.362,-22.400
0.543,0.076,-0.939,-23.315,-13.306,-32.898
